11000	\N	Jon	V	Yang	\N	jon24@adventure-works.com	1 (11) 500 555-0162	M	1966-04-08
11001	\N	Eugene	L	Huang	\N	eugene10@adventure-works.com	1 (11) 500 555-0110	M	1965-05-14
11002	\N	Ruben	\N	Torres	\N	ruben35@adventure-works.com	1 (11) 500 555-0184	M	1965-08-12
11003	\N	Christy	\N	Zhu	\N	christy12@adventure-works.com	1 (11) 500 555-0162	F	1968-02-15
11004	\N	Elizabeth	\N	Johnson	\N	elizabeth5@adventure-works.com	1 (11) 500 555-0131	F	1968-08-08
11005	\N	Julio	\N	Ruiz	\N	julio1@adventure-works.com	1 (11) 500 555-0151	M	1965-08-05
11006	\N	Janet	G	Alvarez	\N	janet9@adventure-works.com	1 (11) 500 555-0184	F	1965-12-06
11007	\N	Marco	\N	Mehta	\N	marco14@adventure-works.com	1 (11) 500 555-0126	M	1964-05-09
11008	\N	Rob	\N	Verhoff	\N	rob4@adventure-works.com	1 (11) 500 555-0164	F	1964-07-07
11009	\N	Shannon	C	Carlson	\N	shannon38@adventure-works.com	1 (11) 500 555-0110	M	1964-04-01
11010	\N	Jacquelyn	C	Suarez	\N	jacquelyn20@adventure-works.com	1 (11) 500 555-0169	F	1964-02-06
11011	\N	Curtis	\N	Lu	\N	curtis9@adventure-works.com	1 (11) 500 555-0117	M	1963-11-04
11012	\N	Lauren	M	Walker	\N	lauren41@adventure-works.com	717-555-0164	F	1968-01-18
11013	\N	Ian	M	Jenkins	\N	ian47@adventure-works.com	817-555-0185	M	1968-08-06
11014	\N	Sydney	\N	Bennett	\N	sydney23@adventure-works.com	431-555-0156	F	1968-05-09
11019	\N	Luke	L	Lal	\N	luke18@adventure-works.com	262-555-0112	M	1978-03-07
11020	\N	Jordan	C	King	\N	jordan73@adventure-works.com	550-555-0163	M	1978-09-20
11021	\N	Destiny	\N	Wilson	\N	destiny7@adventure-works.com	622-555-0158	F	1978-09-03
11022	\N	Ethan	G	Zhang	\N	ethan20@adventure-works.com	589-555-0185	M	1978-10-12
11025	\N	Alejandro	\N	Beck	\N	alejandro45@adventure-works.com	1 (11) 500 555-0178	M	1945-12-23
11026	\N	Harold	\N	Sai	\N	harold3@adventure-works.com	1 (11) 500 555-0131	M	1946-04-03
11027	\N	Jessie	R	Zhao	\N	jessie16@adventure-works.com	1 (11) 500 555-0184	M	1946-12-07
11028	\N	Jill	\N	Jimenez	\N	jill13@adventure-works.com	1 (11) 500 555-0116	F	1946-04-11
11029	\N	Jimmy	L	Moreno	\N	jimmy9@adventure-works.com	1 (11) 500 555-0146	M	1946-12-21
11030	\N	Bethany	G	Yuan	\N	bethany10@adventure-works.com	1 (11) 500 555-0182	F	1947-02-22
11031	\N	Theresa	G	Ramos	\N	theresa13@adventure-works.com	1 (11) 500 555-0195	F	1947-08-22
11032	\N	Denise	\N	Stone	\N	denise10@adventure-works.com	1 (11) 500 555-0169	F	1947-06-11
11033	\N	Jaime	\N	Nath	\N	jaime41@adventure-works.com	1 (11) 500 555-0137	M	1947-09-23
11034	\N	Ebony	\N	Gonzalez	\N	ebony19@adventure-works.com	1 (11) 500 555-0136	F	1947-06-19
11035	\N	Wendy	\N	Dominguez	\N	wendy12@adventure-works.com	1 (11) 500 555-0177	F	1948-02-24
11037	\N	Chloe	M	Garcia	\N	chloe27@adventure-works.com	229-555-0112	F	1977-11-27
11038	\N	Diana	F	Hernandez	\N	diana2@adventure-works.com	1 (11) 500 555-0114	F	1948-03-23
11039	\N	Marc	J	Martin	\N	marc3@adventure-works.com	1 (11) 500 555-0183	M	1948-12-17
11040	\N	Jesse	\N	Murphy	\N	jesse15@adventure-works.com	961-555-0176	M	1977-08-01
11044	\N	Adam	L	Flores	\N	adam10@adventure-works.com	1 (11) 500 555-0163	M	1949-05-24
11045	\N	Leonard	G	Nara	\N	leonard18@adventure-works.com	1 (11) 500 555-0151	M	1950-05-19
11046	\N	Christine	\N	Yuan	\N	christine4@adventure-works.com	1 (11) 500 555-0113	F	1950-03-22
11047	\N	Jaclyn	D	Lu	\N	jaclyn12@adventure-works.com	1 (11) 500 555-0137	F	1950-02-27
11048	\N	Jeremy	\N	Powell	\N	jeremy26@adventure-works.com	1 (11) 500 555-0183	M	1950-11-22
11050	\N	Alan	\N	Zheng	\N	alan23@adventure-works.com	1 (11) 500 555-0135	M	1951-09-07
11051	\N	Daniel	\N	Johnson	\N	daniel18@adventure-works.com	1 (11) 500 555-0155	M	1951-08-04
11052	\N	Heidi	\N	Lopez	\N	heidi19@adventure-works.com	1 (11) 500 555-0168	F	1951-08-07
11054	\N	Deanna	\N	Munoz	\N	deanna33@adventure-works.com	1 (11) 500 555-0192	F	1952-03-10
11055	\N	Gilbert	\N	Raje	\N	gilbert35@adventure-works.com	1 (11) 500 555-0129	M	1952-03-05
11056	\N	Michele	L	Nath	\N	michele19@adventure-works.com	1 (11) 500 555-0178	F	1953-04-03
11057	\N	Carl	J	Andersen	\N	carl12@adventure-works.com	1 (11) 500 555-0181	M	1953-10-12
11058	\N	Marc	\N	Diaz	\N	marc6@adventure-works.com	1 (11) 500 555-0149	M	1954-04-27
11059	\N	Ashlee	J	Andersen	\N	ashlee19@adventure-works.com	1 (11) 500 555-0112	F	1954-04-01
11060	\N	Jon	L	Zhou	\N	jon28@adventure-works.com	1 (11) 500 555-0174	M	1954-03-17
11061	\N	Todd	M	Gao	\N	todd14@adventure-works.com	1 (11) 500 555-0191	M	1954-02-27
11062	\N	Noah	D	Powell	\N	noah5@adventure-works.com	767-555-0113	M	1975-09-02
11063	\N	Angela	\N	Murphy	\N	angela41@adventure-works.com	451-555-0162	F	1975-04-07
11066	\N	Grace	T	Butler	\N	grace62@adventure-works.com	712-555-0141	F	1973-11-27
11067	\N	Caleb	F	Carter	\N	caleb40@adventure-works.com	944-555-0167	M	1976-09-25
11068	\N	Tiffany	\N	Liang	\N	tiffany17@adventure-works.com	1 (11) 500 555-0177	F	1955-09-23
11069	\N	Carolyn	\N	Navarro	\N	carolyn30@adventure-works.com	1 (11) 500 555-0145	F	1955-09-21
11070	\N	Willie	T	Raji	\N	willie40@adventure-works.com	1 (11) 500 555-0151	M	1955-04-05
11071	\N	Linda	\N	Serrano	\N	linda31@adventure-works.com	1 (11) 500 555-0130	F	1955-06-26
11072	\N	Casey	\N	Luo	\N	casey6@adventure-works.com	1 (11) 500 555-0125	F	1955-02-06
11073	\N	Amy	\N	Ye	\N	amy16@adventure-works.com	1 (11) 500 555-0185	F	1956-08-14
11074	\N	Levi	A	Arun	\N	levi6@adventure-works.com	1 (11) 500 555-0127	M	1956-08-28
11075	\N	Felicia	L	Jimenez	\N	felicia4@adventure-works.com	1 (11) 500 555-0165	F	1957-11-16
11076	\N	Blake	\N	Anderson	\N	blake9@adventure-works.com	1 (11) 500 555-0113	M	1957-07-13
11077	\N	Leah	\N	Ye	\N	leah7@adventure-works.com	1 (11) 500 555-0154	F	1957-09-19
11078	\N	Gina	E	Martin	\N	gina1@adventure-works.com	196-555-0114	F	1974-01-10
11079	\N	Donald	\N	Gonzalez	\N	donald20@adventure-works.com	1 (11) 500 555-0137	M	1959-03-11
11080	\N	Damien	\N	Chander	\N	damien32@adventure-works.com	1 (11) 500 555-0111	M	1959-07-17
11084	\N	Lucas	\N	Phillips	\N	lucas7@adventure-works.com	863-555-0172	M	1957-09-12
11091	\N	Dalton	\N	Perez	\N	dalton37@adventure-works.com	559-555-0115	M	1957-04-04
11092	\N	Cheryl	A	Diaz	\N	cheryl4@adventure-works.com	1 (11) 500 555-0192	F	1967-05-06
11093	\N	Aimee	A	He	\N	aimee13@adventure-works.com	1 (11) 500 555-0161	F	1967-09-10
11094	\N	Cedric	W	Ma	\N	cedric15@adventure-works.com	1 (11) 500 555-0115	M	1962-04-01
11095	\N	Chad	\N	Kumar	\N	chad9@adventure-works.com	1 (11) 500 555-0151	M	1962-09-01
11096	\N	Andrés	\N	Anand	\N	andrés18@adventure-works.com	1 (11) 500 555-0184	M	1962-08-10
11097	\N	Edwin	R	Nara	\N	edwin39@adventure-works.com	1 (11) 500 555-0112	M	1961-10-27
11098	\N	Mallory	S	Rubio	\N	mallory7@adventure-works.com	1 (11) 500 555-0157	F	1961-05-01
11099	\N	Adam	\N	Ross	\N	adam2@adventure-works.com	1 (11) 500 555-0186	M	1961-03-08
11100	\N	Latasha	L	Navarro	\N	latasha10@adventure-works.com	1 (11) 500 555-0123	F	1960-09-15
11101	\N	Abby	L	Sai	\N	abby4@adventure-works.com	1 (11) 500 555-0174	F	1965-05-08
11102	\N	Julia	L	Nelson	\N	julia7@adventure-works.com	1 (11) 500 555-0124	F	1965-04-21
11103	\N	Cassie	\N	Chande	\N	cassie13@adventure-works.com	1 (11) 500 555-0166	F	1964-10-17
11104	\N	Edgar	A	Sara	\N	edgar11@adventure-works.com	1 (11) 500 555-0125	M	1964-03-11
11105	\N	Candace	\N	Fernandez	\N	candace15@adventure-works.com	1 (11) 500 555-0162	F	1964-12-28
11106	\N	Jessie	\N	Liu	\N	jessie9@adventure-works.com	1 (11) 500 555-0163	M	1964-09-11
11107	\N	Bianca	\N	Lin	\N	bianca7@adventure-works.com	1 (11) 500 555-0121	F	1959-09-09
11108	\N	Kari	C	Alvarez	\N	kari25@adventure-works.com	1 (11) 500 555-0169	F	1963-07-14
11109	\N	Ruben	D	Kapoor	\N	ruben1@adventure-works.com	1 (11) 500 555-0132	M	1963-11-05
11110	\N	Curtis	\N	Yang	\N	curtis5@adventure-works.com	1 (11) 500 555-0127	M	1962-06-06
11111	\N	Meredith	T	Gutierrez	\N	meredith34@adventure-works.com	1 (11) 500 555-0179	F	1962-02-23
11112	\N	Crystal	C	Wang	\N	crystal3@adventure-works.com	1 (11) 500 555-0134	F	1962-09-09
11113	\N	Micheal	A	Blanco	\N	micheal11@adventure-works.com	1 (11) 500 555-0131	M	1962-02-21
11114	\N	Leslie	C	Moreno	\N	leslie7@adventure-works.com	1 (11) 500 555-0115	F	1962-05-28
11115	\N	Alvin	D	Cai	\N	alvin20@adventure-works.com	1 (11) 500 555-0191	M	1962-02-12
11116	\N	Clinton	E	Carlson	\N	clinton14@adventure-works.com	1 (11) 500 555-0184	M	1962-10-07
11117	\N	April	\N	Deng	\N	april1@adventure-works.com	1 (11) 500 555-0182	F	1961-02-21
11118	\N	Alvin	M	Zeng	\N	alvin21@adventure-works.com	1 (11) 500 555-0174	M	1957-07-03
11121	\N	Orlando	\N	Suarez	\N	orlando19@adventure-works.com	1 (11) 500 555-0198	M	1960-11-18
11122	\N	Byron	\N	Vazquez	\N	byron9@adventure-works.com	1 (11) 500 555-0136	M	1960-04-02
11123	\N	Philip	A	Alvarez	\N	philip4@adventure-works.com	1 (11) 500 555-0191	M	1960-06-20
11124	\N	Ross	F	Jordan	\N	ross1@adventure-works.com	1 (11) 500 555-0126	M	1957-07-27
11125	\N	Dana	J	Navarro	\N	dana2@adventure-works.com	1 (11) 500 555-0172	F	1956-04-08
11126	\N	Shaun	\N	Carson	\N	shaun16@adventure-works.com	1 (11) 500 555-0155	M	1949-04-07
11128	\N	Samantha	\N	Long	\N	samantha35@adventure-works.com	175-555-0139	F	1975-12-05
11129	\N	Julia	M	Wright	\N	julia17@adventure-works.com	456-555-0174	F	1975-08-05
11130	\N	Caroline	L	Russell	\N	caroline21@adventure-works.com	424-555-0137	F	1980-01-06
11131	\N	Amanda	\N	Rivera	\N	amanda7@adventure-works.com	918-555-0126	F	1980-03-12
11132	\N	Melissa	E	Richardson	\N	melissa31@adventure-works.com	928-555-0118	F	1980-10-26
11133	\N	Angela	\N	Griffin	\N	angela23@adventure-works.com	598-555-0174	F	1980-09-08
11134	\N	Larry	D	Townsend	\N	larry14@adventure-works.com	1 (11) 500 555-0130	M	1946-02-26
11136	\N	Brianna	D	Morgan	\N	brianna30@adventure-works.com	954-555-0117	F	1978-10-26
11137	\N	Jasmine	A	Taylor	\N	jasmine7@adventure-works.com	557-555-0146	F	1978-07-20
11142	\N	Eduardo	\N	Patterson	\N	eduardo55@adventure-works.com	190-555-0184	M	1977-08-14
11144	\N	Edward	\N	Hernandez	\N	edward48@adventure-works.com	178-555-0196	M	1979-09-09
11145	\N	Jasmine	L	Coleman	\N	jasmine46@adventure-works.com	857-555-0115	F	1979-12-08
11152	\N	James	J	Williams	\N	james77@adventure-works.com	355-555-0153	M	1976-01-10
11153	\N	Angela	R	James	\N	angela34@adventure-works.com	847-555-0111	F	1976-06-23
11154	\N	Megan	G	Walker	\N	megan25@adventure-works.com	918-555-0186	F	1976-08-21
11157	\N	Hannah	E	Long	\N	hannah32@adventure-works.com	974-555-0177	F	1975-06-11
11166	\N	Ashley	\N	Martinez	\N	ashley18@adventure-works.com	131-555-0194	F	1972-04-24
11167	\N	Jasmine	J	Barnes	\N	jasmine43@adventure-works.com	178-555-0156	F	1972-08-01
11170	\N	Carol	T	Howard	\N	carol5@adventure-works.com	845-555-0127	F	1968-02-05
11172	\N	Gabrielle	J	Adams	\N	gabrielle58@adventure-works.com	403-555-0152	F	1967-11-21
11173	\N	Sarah	F	Thomas	\N	sarah13@adventure-works.com	868-555-0188	F	1967-09-01
11176	\N	Mason	D	Roberts	\N	mason25@adventure-works.com	539-555-0162	M	1968-01-25
11192	\N	James	C	Brown	\N	james79@adventure-works.com	725-555-0117	M	1945-09-13
11193	\N	Ian	A	Gray	\N	ian72@adventure-works.com	596-555-0190	M	1945-02-13
11195	\N	Megan	\N	Henderson	\N	megan55@adventure-works.com	560-555-0150	F	1946-02-10
11196	\N	Alfredo	\N	Romero	\N	alfredo10@adventure-works.com	342-555-0110	M	1946-06-07
11197	\N	Andrea	\N	Morris	\N	andrea18@adventure-works.com	715-555-0178	F	1946-06-18
11200	\N	Jason	L	Griffin	\N	jason18@adventure-works.com	232-555-0160	M	1947-11-22
11203	\N	Luis	D	Diaz	\N	luis21@adventure-works.com	171-555-0126	M	1948-08-21
11204	\N	Destiny	C	Rivera	\N	destiny33@adventure-works.com	743-555-0111	F	1948-06-01
11205	\N	Abby	\N	Fernandez	\N	abby13@adventure-works.com	134-555-0119	F	1948-07-24
11206	\N	Blake	\N	Flores	\N	blake60@adventure-works.com	975-555-0163	M	1948-09-24
11207	\N	Danielle	\N	Cox	\N	danielle12@adventure-works.com	396-555-0158	F	1948-07-19
11211	\N	Samantha	\N	Russell	\N	samantha42@adventure-works.com	547-555-0121	F	1949-10-12
11212	\N	Chloe	\N	Campbell	\N	chloe4@adventure-works.com	205-555-0169	F	1949-11-05
11213	\N	Stephanie	B	Murphy	\N	stephanie11@adventure-works.com	293-555-0151	F	1949-05-14
11214	\N	Charles	O	Miller	\N	charles9@adventure-works.com	389-555-0115	M	1949-11-07
11215	\N	Ana	\N	Perry	\N	ana7@adventure-works.com	446-555-0134	F	1950-06-21
11216	\N	Jasmine	A	Torres	\N	jasmine32@adventure-works.com	939-555-0130	F	1950-05-20
11217	\N	Natalie	P	Adams	\N	natalie58@adventure-works.com	300-555-0150	F	1950-02-11
11218	\N	Olivia	\N	Brown	\N	olivia4@adventure-works.com	414-555-0147	F	1950-09-11
11219	\N	Charles	\N	Cook	\N	charles69@adventure-works.com	755-555-0111	M	1950-12-02
11223	\N	Hailey	I	Patterson	\N	hailey30@adventure-works.com	480-555-0126	F	1951-09-16
11224	\N	Tiffany	J	Li	\N	tiffany3@adventure-works.com	197-555-0118	F	1951-09-06
11225	\N	Madison	D	Lee	\N	madison22@adventure-works.com	471-555-0142	F	1951-02-16
11226	\N	Sydney	T	Ross	\N	sydney26@adventure-works.com	219-555-0146	F	1951-09-27
11231	\N	Dennis	\N	Zhang	\N	dennis1@adventure-works.com	710-555-0134	M	1952-11-14
11232	\N	Hailey	R	Bryant	\N	hailey38@adventure-works.com	156-555-0195	F	1952-09-27
11235	\N	Angel	J	Stewart	\N	angel24@adventure-works.com	540-555-0122	M	1952-02-08
11236	\N	Jeremy	\N	Butler	\N	jeremy29@adventure-works.com	980-555-0117	M	1952-03-05
11238	\N	Mayra	\N	Prasad	\N	mayra9@adventure-works.com	1 (11) 500 555-0116	F	1958-08-10
11239	\N	Latoya	C	Goel	\N	latoya18@adventure-works.com	1 (11) 500 555-0149	F	1958-10-06
11240	\N	Anne	B	Hernandez	\N	anne4@adventure-works.com	1 (11) 500 555-0119	F	1958-12-11
11243	\N	Robin	V	Alvarez	\N	robin2@adventure-works.com	1 (11) 500 555-0198	F	1957-10-09
11244	\N	Alexis	M	Coleman	\N	alexis28@adventure-works.com	1 (11) 500 555-0115	F	1957-11-26
11247	\N	Claudia	M	Zhou	\N	claudia7@adventure-works.com	1 (11) 500 555-0116	F	1956-06-06
11250	\N	Shannon	D	Liu	\N	shannon4@adventure-works.com	1 (11) 500 555-0119	F	1955-03-12
11259	\N	Victoria	C	Stewart	\N	victoria24@adventure-works.com	230-555-0139	F	1965-03-27
11262	\N	Jennifer	\N	Simmons	\N	jennifer88@adventure-works.com	148-555-0115	F	1964-05-04
11263	\N	Trinity	\N	Richardson	\N	trinity9@adventure-works.com	111-555-0116	F	1964-09-11
11264	\N	Eduardo	\N	Martin	\N	eduardo13@adventure-works.com	342-555-0195	M	1964-06-17
11265	\N	Elizabeth	P	Jones	\N	elizabeth7@adventure-works.com	941-555-0110	F	1964-07-13
11266	\N	Taylor	\N	Howard	\N	taylor14@adventure-works.com	162-555-0131	F	1964-05-05
11276	\N	Nancy	E	Chapman	\N	nancy7@adventure-works.com	909-555-0129	F	1963-09-19
11277	\N	Charles	P	Jackson	\N	charles15@adventure-works.com	194-555-0175	M	1963-06-10
11278	\N	Jonathan	\N	Phillips	\N	jonathan35@adventure-works.com	967-555-0176	M	1963-08-20
11279	\N	Amanda	S	Cook	\N	amanda3@adventure-works.com	252-555-0177	F	1963-09-12
11280	\N	Robert	\N	Collins	\N	robert45@adventure-works.com	966-555-0171	M	1963-08-21
11282	\N	Christian	A	Thomas	\N	christian46@adventure-works.com	692-555-0172	M	1962-01-16
11287	\N	Henry	B	Garcia	\N	henry16@adventure-works.com	282-555-0185	M	1961-01-16
11293	\N	Luke	S	Long	\N	luke28@adventure-works.com	786-555-0117	M	1955-05-27
11294	\N	Dalton	P	Clark	\N	dalton18@adventure-works.com	388-555-0195	M	1955-09-03
11300	\N	Fernando	\N	Barnes	\N	fernando47@adventure-works.com	469-555-0125	M	1960-03-03
11301	\N	Cameron	L	Rodriguez	\N	cameron38@adventure-works.com	727-555-0119	M	1960-06-09
11302	\N	Spencer	\N	Russell	\N	spencer22@adventure-works.com	834-555-0131	M	1960-12-12
11303	\N	Julia	\N	Coleman	\N	julia72@adventure-works.com	907-555-0170	F	1960-10-11
11304	\N	Julia	B	Garcia	\N	julia38@adventure-works.com	923-555-0183	F	1960-03-17
11308	\N	Ian	T	Gonzales	\N	ian57@adventure-works.com	904-555-0153	M	1954-03-05
11309	\N	Victoria	\N	Lewis	\N	victoria20@adventure-works.com	586-555-0191	F	1954-06-12
11311	\N	Gabrielle	D	Lopez	\N	gabrielle63@adventure-works.com	783-555-0174	F	1953-08-24
11312	\N	Sara	\N	Richardson	\N	sara10@adventure-works.com	296-555-0174	F	1953-04-03
11313	\N	Trevor	\N	Jenkins	\N	trevor6@adventure-works.com	120-555-0129	M	1953-02-27
11314	\N	Mya	\N	Flores	\N	mya13@adventure-works.com	522-555-0140	F	1953-12-21
11315	\N	Hailey	J	Ward	\N	hailey12@adventure-works.com	767-555-0151	F	1953-10-01
11316	\N	Luke	\N	Allen	\N	luke52@adventure-works.com	786-555-0133	M	1953-11-17
11317	\N	Victoria	D	Russell	\N	victoria66@adventure-works.com	663-555-0197	F	1952-09-17
11318	\N	Jessica	\N	Wilson	\N	jessica54@adventure-works.com	702-555-0180	F	1952-10-26
11331	\N	Samantha	\N	Jenkins	\N	samantha32@adventure-works.com	936-555-0152	F	1968-07-06
11333	\N	Emily	R	Miller	\N	emily6@adventure-works.com	1 (11) 500 555-0110	F	1962-07-10
11334	\N	Nicole	\N	Brown	\N	nicole4@adventure-works.com	1 (11) 500 555-0187	F	1961-03-22
11337	\N	Jerome	\N	Romero	\N	jerome7@adventure-works.com	1 (11) 500 555-0112	M	1961-09-21
11343	\N	Arthur	P	Carlson	\N	arthur41@adventure-works.com	1 (11) 500 555-0166	M	1958-09-13
11344	\N	Jessie	\N	Jimenez	\N	jessie3@adventure-works.com	1 (11) 500 555-0193	F	1957-07-24
11356	\N	Terrence	\N	Carson	\N	terrence15@adventure-works.com	1 (11) 500 555-0189	M	1980-05-27
11357	\N	Ramon	\N	Ye	\N	ramon9@adventure-works.com	1 (11) 500 555-0143	M	1979-03-23
11358	\N	Cynthia	\N	Malhotra	\N	cynthia9@adventure-works.com	1 (11) 500 555-0187	F	1978-11-11
11359	\N	Jarrod	\N	Prasad	\N	jarrod9@adventure-works.com	1 (11) 500 555-0154	M	1978-09-04
11360	\N	Tyrone	\N	Serrano	\N	tyrone15@adventure-works.com	1 (11) 500 555-0176	M	1978-08-02
11361	\N	Cindy	G	Ramos	\N	cindy22@adventure-works.com	1 (11) 500 555-0173	F	1977-04-28
11362	\N	Damien	M	Shan	\N	damien26@adventure-works.com	1 (11) 500 555-0142	M	1977-11-11
11363	\N	Julian	\N	Ross	\N	julian5@adventure-works.com	1 (11) 500 555-0126	M	1977-10-20
11364	\N	Jennifer	\N	Collins	\N	jennifer6@adventure-works.com	1 (11) 500 555-0196	F	1979-09-23
11365	\N	Brittney	\N	Sun	\N	brittney12@adventure-works.com	1 (11) 500 555-0155	F	1979-06-09
11366	\N	Virginia	R	Patel	\N	virginia4@adventure-works.com	1 (11) 500 555-0146	F	1979-10-25
11367	\N	Calvin	J	Nara	\N	calvin15@adventure-works.com	1 (11) 500 555-0193	M	1979-02-22
11368	\N	Edward	\N	Miller	\N	edward28@adventure-works.com	1 (11) 500 555-0151	M	1978-11-25
11369	\N	Ashlee	D	Tang	\N	ashlee11@adventure-works.com	1 (11) 500 555-0187	F	1978-08-04
11370	\N	Alicia	\N	Xu	\N	alicia3@adventure-works.com	1 (11) 500 555-0113	F	1978-04-01
11371	\N	Lacey	C	Jai	\N	lacey1@adventure-works.com	1 (11) 500 555-0149	F	1978-05-27
11372	\N	Wendy	H	Romero	\N	wendy8@adventure-works.com	1 (11) 500 555-0114	F	1978-05-15
11381	\N	Meredith	\N	Raman	\N	meredith11@adventure-works.com	1 (11) 500 555-0162	F	1959-08-22
11385	\N	Miguel	C	Allen	\N	miguel24@adventure-works.com	1 (11) 500 555-0128	M	1960-08-11
11387	\N	Megan	C	Ramirez	\N	megan44@adventure-works.com	1 (11) 500 555-0192	F	1959-06-02
11388	\N	Joseph	\N	Martin	\N	joseph21@adventure-works.com	1 (11) 500 555-0143	M	1959-07-24
11394	\N	George	\N	McDonald	\N	george13@adventure-works.com	1 (11) 500 555-0150	M	1969-10-23
11398	\N	Colin	N	Nath	\N	colin41@adventure-works.com	1 (11) 500 555-0115	M	1969-09-09
11400	\N	Franklin	\N	Raji	\N	franklin38@adventure-works.com	1 (11) 500 555-0180	M	1969-04-19
11408	\N	Darren	M	Gill	\N	darren36@adventure-works.com	1 (11) 500 555-0166	M	1953-05-14
11413	\N	Megan	L	Stewart	\N	megan27@adventure-works.com	1 (11) 500 555-0116	F	1954-04-15
11414	\N	Ian	\N	Richardson	\N	ian76@adventure-works.com	1 (11) 500 555-0119	M	1954-03-18
11419	\N	Kyle	D	Scott	\N	kyle43@adventure-works.com	1 (11) 500 555-0178	M	1945-02-18
11422	\N	Dustin	F	Deng	\N	dustin1@adventure-works.com	1 (11) 500 555-0168	M	1946-09-01
11434	\N	Andre	\N	Lopez	\N	andre16@adventure-works.com	1 (11) 500 555-0111	M	1951-05-06
